address,spot_hype
0x03b9a189e2480d1e4c3007080b29f362282130fa,59999.99998013
0x41668dddb717d2f58909ecc4dc37f995a4eee428,59980.77983507
0xd6ee4644748c0abf3c0aec9532adcd6645437777,59647.99645854
0x9ff588d01f8948c25b3dd8a36fc583b019fd4a61,59172.61
0xdab9dc2263f97f1da26c285278905774491850df,58601.24632063
0x13c50dcdee4bbcba71baf578b345cdd35c7928be,58028.51985604
0x45f12ecc6a58797aae2b805d6aa3d9ac96462f14,58000.00464332
0x4cbd339d9969bf8558af38af46bfd299a80b315f,56591.95798965
0x9cb9f2773cfc7a27247a85a6c577161bb63738e6,55521.56993958
0xb38bbe3b0a6f35e20a57bf88f1acd3f1a0ad17ba,55317.44769218
0x192bb1fdb08a197e1cdebcfc52deee92e5e33e1d,55000.00560985
0x862dd8e68f30693e3d3c9daa42a440bc6d2a1f0c,54722.07590014
0x1611b96ad7fad538c146545f42673b1061f971a4,53147.31726089
0x7f47bf4025bd2178741058a10cd829e406ef4d0c,52665.63617285
0x42a1cf900c55ec4ebc885eb870a8e1d2e2fa1727,52402.74425945
0x138bda71236352d996b903b090f09fdb25f442d7,51006.14805728
0xf4a3c6c39424208803feff01d7f3c809cb88fd1c,50905.44075027
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,50900.31801757
0xb221a0f172694ddbb7883c7fe37459cc25f0a406,50856.00457005
0xffa8db7b38579e6a2d14f9b347a9ace4d044cd54,50264.00630189
0x642a9502d98c5d957593636fe0648432ceb9905f,50000.16268478
0x3300eebeea8239b90a435e403b130a853a0d7dff,50000.00461999
0xd57ecca444a9acb7208d286be439de12dd09de5d,50000.00000044
0x7c4b71c1d8a11ed426f301c372a72e06f528e00b,49999.99971273
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,49971.2254159
0xa312114b5795dff9b8db50474dd57701aa78ad1e,47713.8676183
0x9fd23f98fc7f377ca72141575a6c31a63495f6c3,47500.023036
0x873ef969fd1cda4cd07c4113aa12ac6276f344a2,47037.65095699
0x0cbf655b0d22ae71fba3a674b0e1c0c7e7f975af,46700.73018591
0x714bc805a6040935f1129a37748333c07ca0f9d1,46276.43977613
0x0fdf85b9286b9708abe1904faff5e78ad184a315,45769.52030705
0xd25a100d719f024d183d8b49d25cabf668ac4a41,45000.00711852
0xd4ef511de4ef09cef693d6a646953efaaf6733d9,44449.86522115
0xdcf937feb1761df3ca3f1ce861c14d5e0acb148e,43624.01397313
0x67cb008c9bbb2f0ef7ab293746638d3be88261d9,42774.53708526
0x4c2a1ec71baec30074f4c4a246367bc028a35001,42731.43348024
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,40896.4893977
0xabc9eda0988d43f9c5ca1f380e6fb2bccc5a01d2,40575.45096159
0xb190075e8027cc2df5d3b7749e4548fa8e56fa18,40371.16887875
0x462e3f2ce774b4dbba10662a2155e4823d4c820f,40100.00004
0xe9f91121e8ec38c2d0fba6dec8bced55b6a42bb7,39490.94427906
0x2c26a94cdb7c9a3d24ad5fcb57f36023f2f22afe,38864.48358903
0x29de2668d0c8a5879ebb2f6afbec1c6f485a3e93,38644.23578623
0x90cdf1009738664d25581d4950caa8ef7366c993,38237.518872
0xcebc166164e724cff96c416e362ccd621baf74a5,37233.10827736
0x53ff1d086809f8fa76982224ecc8185bb006c241,37222.60552145
0x37e6c9758c0f3a1983d03ace7598d31e2f8964dc,36945.9368073
0xe8671df8498fcbc7a149580cb6f6882b5d6fa170,36522.4902728
0x5f26ec7a4bb4fae3baf7391ac8df46882bd7c42f,35807.79
0x9b143c515e0057c204472321456ed0c890958ef3,35470.2001
0x9dfac83a2f266596fe8c80cf2f4a786c6364f9aa,35328.730646
0xd887c5097cdb90d256cd5b504bab3e462d26960c,34873.5
0x69cc3ae720efdff1cd2a8edec79a7a3fac6e14fd,34567.15517074
0x01b2e49f1f3fbf81db90fc9718672900c12dd249,34562.29884423
0xc36e04d7b3330cadf8a1dcb48542beb7a04752b7,34460.70561447
0x64f80d81f4ae9858a9e92dce8d19ee1686cc8e04,34295.66217436
0x42e8cafc4933168124cee3b37cc2257d38ff4577,34099.0
0x2c6a7adbe6154d80a02ca46f10ccfa20276109bf,33843.58313639
0x810e6d26b82a0b08942da5d2cee57a3f2c98b8f5,33024.0
0xf081bcac764c73b14ad1920c08fc351978dfc778,32359.730928
0xcf2004d199a354b3e30b9cbaccaba785645b57f9,31550.71
0x0e0a53ba14210d286e5a3e9a8ec8ea02257695e2,31430.76225502
0xabdbca561f51626a217cbacdd95fcbd95b6484ac,30889.38540073
0xbf418ae8c3b4fc56837278dcc728ac78d3694087,30805.20099779
0xd87666833ba1b370ac77f609696267ea8f30a727,30718.2548127
0xa23270e0fb611896e26617bdfb0ca5d52a00556c,30555.25555557
0x6a1e8db432dfe140cdd3746e063e40a4d5453f84,30100.0
0x8bd03a3d492cd39586e60ab6c0840c78f0a37831,30000.36438231
0x6888e153ccf88d9e98dc24e1e9c3b99a58558fad,30000.09045683
0x9c40f18dc57de8cb89c01322db7f2692d2c8d6fc,30000.09
0x57febe9bf4cc255b4ac72c6fdb52a19a059a9ef0,30000.00167882
0xd769d5ca1404298dc5b7238204468c74d02cb37f,30000.0
0xc15dc0b4223b05588a257e48ed129fb59c6eb7e3,30000.0
0xb50eb114904b32abb8b6eeba0b633bc07a5eb0e8,30000.0
0x14a5d0e0e496ab0ee86021f7be16131496564aa3,30000.0
0x48f108b921f5b79d730ec5a952d49a540273359c,29999.97311481
0x7df7de9cbf9834cd53a54f44a83d77d8af1bb0c2,29999.3
0xeee0d806e4f0a427277433d6b580619918770b53,29891.39996
0x8899c92488373b6e0d9a6cc3f3051f7d4a70b84c,29000.59872037
0xfadbad3c0fcb62dbfa72d999a15f80e5f4a7cd63,28569.02328146
0x632b0a6bb6b6184b97f61a6c773077cab99d1838,28258.89111463
0xfb941d2344b72ea9101400392b818173772d0ddf,28239.50263719
0xd24ff5e32de12be154b1c2ee7b731cbc45540e50,27500.00974898
0x47a127f496d001f187ac65fc24852274dc51d080,27317.32362836
0x3781d39b0ba3c0e3bfec7989157577ea73a12c81,26836.74318816
0x6da2ccb2682fffd3df132948165dd78d6159f6fd,26683.38969627
0x5d2c2bd98f10616771d7b5124ad2090ba72aa43c,26435.01249448
0x3be7713dfd6a7d9e45ad296708258765ec78b123,26357.53764122
0x615d54d75193c93f28166adcf7b615d5d47b4dbe,26350.29939569
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,25110.58560285
0x67d044e57cc0fe7933f3b7ffba6f383d6310c875,25003.0
0x8819be08ad61b427c1a26ae1d6158952ae830d6c,24723.98015254
0x7c94ea285ff338a7218582ce32218f6ac8c00c56,24688.44378701
0x66bf866007b183c4dc6181e1165a76e257d91e23,24583.33003355
0xf9bb39c8fa14b3590936783532d90233a9f18d19,24428.16482535
0xce012e3b7b3d59a51db0763d0b96a4f5b116286f,24345.25989375
0xd3ee2b5bcda21d5d6febed540c09ec99537093c8,24212.4401
0xcd331c3d48677b99aa17d11f60a88de9b71da72d,24115.0153062
0x55d49652a1a5e6b15fddb6741b41b577fecb83ef,24050.28433495
0x8bcf7a888c66f635ac4a2caf42a8dd12a3b20b14,24000.00061915
0x25c0d99f9855dd4b1354e3696fe3e141fda81017,23693.052904
0xb459aaa39f70f71a66b94cd6458d5a6c7addb242,23298.58852032
0x964f9b5b2b0450ca7847956609bbb220047db3a7,23262.60000008
0x4f7634c03ec4e87e14725c84913ade523c6fad5a,22544.73070833
0x4ad2f2d6d22fe386e61f44bbf3ff6bad152e87f4,22415.0086835
0x3e95fef1176acf5e5d2ef67d9c856e4ecac73e1f,22396.57800252
0x7653c6fcd05d422aa02de313b0423ced64e7a663,22000.05380517
0xa11ba9a2e0df1367b203d04840ef18a0262e16d5,21977.54264952
0x1af37a5efa743faf00f5281e17d9d308c48ab2f0,21879.0
0xfb35b06e02913693b708043b8e37c9cc49d2db4f,21839.373546
0x75edccfa5f9d1f1571ddd0fdf02af03a28fcb522,21491.06572373
